Participant No.,Major,A.Score,A.Time,B.Score,B.Time,First,Music,Gender,Family,EngSci,Under 25
1,math,90,121,70,122,A,B,M,FALSE,TRUE,TRUE
2,humanities,50,237,70,201,A,B,M,FALSE,FALSE,TRUE
3,humanities,80,318,90,275,A,A,F,TRUE,FALSE,FALSE
4,,0,176,0,95,A,B,F,TRUE,FALSE,FALSE
5,humanities,90,217,90,271,B,A,M,TRUE,FALSE,FALSE
6,bio,100,390,100,433,B,B,F,TRUE,FALSE,TRUE
7,humanities,90,302,60,192,B,A,F,TRUE,FALSE,TRUE
8,humanities,10,186,40,135,B,A,F,FALSE,FALSE,TRUE
9,math,20,71,60,67,A,A,M,FALSE,FALSE,TRUE
10,humanities,80,202,100,212,B,B,F,FALSE,FALSE,TRUE
11,math,100,210,50,251,B,B,M,FALSE,TRUE,TRUE
12,bio,100,305,90,301,B,B,F,FALSE,FALSE,TRUE
13,math,50,141,60,159,A,B,M,FALSE,FALSE,TRUE
14,math,50,306,50,350,A,A,M,FALSE,FALSE,TRUE
15,math,80,325,70,376,A,A,M,FALSE,TRUE,TRUE
16,humanities,90,230,70,169,B,B,M,FALSE,FALSE,TRUE
17,math,100,177,90,172,B,A,M,FALSE,FALSE,TRUE
18,math,10,84,10,105,A,B,M,FALSE,TRUE,TRUE
19,math,90,178,70,255,B,A,F,FALSE,FALSE,FALSE
20,math,70,223,50,341,B,A,M,TRUE,FALSE,FALSE
21,bio,80,257,90,295,A,B,F,TRUE,FALSE,TRUE
22,bio,90,320,80,391,A,B,F,FALSE,FALSE,FALSE
23,math,100,177,80,184,B,B,F,FALSE,TRUE,TRUE
24,math,100,155,100,130,B,A,M,FALSE,TRUE,TRUE
25,bio,60,156,40,181,A,B,M,FALSE,FALSE,TRUE
26,bio,100,263,100,195,B,B,M,FALSE,FALSE,TRUE
27,bio,80,286,90,343,B,B,M,FALSE,FALSE,TRUE
28,math,40,228,70,159,B,B,F,TRUE,FALSE,FALSE
